# Source: https://www.digitaldutch.com/atmoscalc/table.htm
Altitude [m],Temperature [K],Pressure [Pa],Density [kg m-3],Speed of sound [m s-1],Viscosity [Pa s]
66900,226.13,7.47104,0.000115096,301.456,1.48546E-05
67000,225.85,7.35895,0.00011351,301.269,1.4839E-05
67100,225.57,7.24841,0.000111944,301.083,1.48235E-05
67200,225.29,7.13939,0.000110397,300.896,1.48079E-05
67300,225.01,7.03187,0.00010887,300.709,1.47923E-05
67400,224.73,6.92585,0.000107362,300.522,1.47767E-05
67500,224.45,6.8213,0.000105873,300.334,1.4761E-05
67600,224.17,6.71819,0.000104403,300.147,1.47454E-05
67700,223.89,6.61652,0.000102952,299.959,1.47298E-05
67800,223.61,6.51626,0.000101519,299.772,1.47141E-05
67900,223.33,6.4174,0.000100104,299.584,1.46985E-05
68000,223.05,6.31992,9.87069E-05,299.396,1.46828E-05
68100,222.77,6.2238,9.73279E-05,299.208,1.46672E-05
68200,222.49,6.12902,9.59663E-05,299.02,1.46515E-05
68300,222.21,6.03557,9.46222E-05,298.832,1.46358E-05
68400,221.93,5.94343,9.32952E-05,298.644,1.46201E-05
68500,221.65,5.85259,9.19852E-05,298.455,1.46044E-05
68600,221.37,5.76302,9.0692E-05,298.266,1.45887E-05
68700,221.09,5.6747,8.94154E-05,298.078,1.4573E-05
68800,220.81,5.58764,8.81551E-05,297.889,1.45573E-05
68900,220.53,5.5018,8.69111E-05,297.7,1.45415E-05
69000,220.25,5.41717,8.5683E-05,297.511,1.45258E-05
69100,219.97,5.33374,8.44708E-05,297.322,1.451E-05
69200,219.69,5.25149,8.32742E-05,297.133,1.44943E-05
69300,219.41,5.17041,8.2093E-05,296.943,1.44785E-05
69400,219.13,5.09047,8.09272E-05,296.754,1.44627E-05
69500,218.85,5.01168,7.97764E-05,296.564,1.44469E-05
69600,218.57,4.934,7.86406E-05,296.374,1.44312E-05
69700,218.29,4.85743,7.75195E-05,296.184,1.44154E-05
69800,218.01,4.78196,7.6413E-05,295.994,1.43995E-05
69900,217.73,4.70756,7.53209E-05,295.804,1.43837E-05
70000,217.45,4.63422,7.4243E-05,295.614,1.43679E-05
70100,217.17,4.56194,7.31792E-05,295.423,1.43521E-05
70200,216.89,4.49069,7.21293E-05,295.233,1.43362E-05
70300,216.61,4.42046,7.10931E-05,295.042,1.43204E-05
70400,216.33,4.35125,7.00705E-05,294.852,1.43045E-05
70500,216.05,4.28303,6.90613E-05,294.661,1.42886E-05
70600,215.77,4.21579,6.80654E-05,294.47,1.42728E-05
70700,215.49,4.14952,6.70825E-05,294.279,1.42569E-05
70800,215.21,4.08422,6.61126E-05,294.087,1.4241E-05
70900,214.93,4.01985,6.51555E-05,293.896,1.42251E-05
71000,214.65,3.95642,6.4211E-05,293.704,1.42092E-05
71100,214.45,3.89392,6.32556E-05,293.568,1.41978E-05
71200,214.25,3.83235,6.23136E-05,293.431,1.41864E-05
71300,214.05,3.7717,6.13847E-05,293.294,1.41751E-05
71400,213.85,3.71195,6.04688E-05,293.157,1.41637E-05
71500,213.65,3.6531,5.95657E-05,293.019,1.41523E-05
71600,213.45,3.59512,5.86753E-05,292.882,1.41409E-05
71700,213.25,3.53801,5.77974E-05,292.745,1.41295E-05
71800,213.05,3.48176,5.69318E-05,292.608,1.41181E-05
71900,212.85,3.42634,5.60784E-05,292.47,1.41067E-05
72000,212.65,3.37176,5.5237E-05,292.333,1.40953E-05
72100,212.45,3.318,5.44074E-05,292.195,1.40839E-05
72200,212.25,3.26505,5.35895E-05,292.058,1.40725E-05
72300,212.05,3.21289,5.27832E-05,291.92,1.4061E-05
72400,211.85,3.16152,5.19883E-05,291.783,1.40496E-05
72500,211.65,3.11092,5.12046E-05,291.645,1.40382E-05
72600,211.45,3.06109,5.0432E-05,291.507,1.40268E-05
72700,211.25,3.012,4.96703E-05,291.369,1.40153E-05
72800,211.05,2.96366,4.89195E-05,291.231,1.40039E-05
72900,210.85,2.91605,4.81793E-05,291.093,1.39924E-05
73000,210.65,2.86917,4.74496E-05,290.955,1.3981E-05
73100,210.45,2.82299,4.67302E-05,290.817,1.39695E-05
73200,210.25,2.77751,4.60212E-05,290.679,1.39581E-05
73300,210.05,2.73272,4.53222E-05,290.54,1.39466E-05
73400,209.85,2.68861,4.46331E-05,290.402,1.39351E-05
73500,209.65,2.64518,4.3954E-05,290.264,1.39236E-05
73600,209.45,2.6024,4.32845E-05,290.125,1.39122E-05
73700,209.25,2.56028,4.26246E-05,289.987,1.39007E-05
73800,209.05,2.5188,4.19741E-05,289.848,1.38892E-05
73900,208.85,2.47795,4.13329E-05,289.709,1.38777E-05
74000,208.65,2.43773,4.0701E-05,289.57,1.38662E-05
74100,208.45,2.39812,4.00781E-05,289.432,1.38547E-05
74200,208.25,2.35912,3.94642E-05,289.293,1.38432E-05
74300,208.05,2.32071,3.8859E-05,289.154,1.38317E-05
74400,207.85,2.2829,3.82626E-05,289.015,1.38202E-05
74500,207.65,2.24567,3.76748E-05,288.876,1.38087E-05
74600,207.45,2.209,3.70955E-05,288.737,1.37971E-05
74700,207.25,2.17291,3.65245E-05,288.597,1.37856E-05
74800,207.05,2.13737,3.59618E-05,288.458,1.37741E-05
74900,206.85,2.10237,3.54072E-05,288.319,1.37625E-05
75000,206.65,2.06792,3.48607E-05,288.179,1.3751E-05
75100,206.45,2.034,3.43221E-05,288.04,1.37394E-05
75200,206.25,2.0006,3.37912E-05,287.9,1.37279E-05
75300,206.05,1.96772,3.32681E-05,287.761,1.37163E-05
75400,205.85,1.93535,3.27526E-05,287.621,1.37048E-05
75500,205.65,1.90348,3.22446E-05,287.481,1.36932E-05
75600,205.45,1.8721,3.1744E-05,287.341,1.36817E-05
75700,205.25,1.84121,3.12507E-05,287.201,1.36701E-05
75800,205.05,1.81081,3.07645E-05,287.061,1.36585E-05
75900,204.85,1.78087,3.02855E-05,286.921,1.36469E-05
76000,204.65,1.7514,2.98135E-05,286.781,1.36353E-05
76100,204.45,1.7224,2.93484E-05,286.641,1.36237E-05
76200,204.25,1.69384,2.88901E-05,286.501,1.36122E-05
76300,204.05,1.66573,2.84385E-05,286.361,1.36006E-05
76400,203.85,1.63806,2.79935E-05,286.22,1.35889E-05
76500,203.65,1.61082,2.75551E-05,286.08,1.35773E-05
76600,203.45,1.58401,2.71231E-05,285.939,1.35657E-05
76700,203.25,1.55762,2.66975E-05,285.799,1.35541E-05
76800,203.05,1.53165,2.62781E-05,285.658,1.35425E-05
76900,202.85,1.50608,2.5865E-05,285.517,1.35309E-05
77000,202.65,1.48092,2.54579E-05,285.377,1.35192E-05
77100,202.45,1.45615,2.50568E-05,285.236,1.35076E-05
77200,202.25,1.43177,2.46617E-05,285.095,1.3496E-05
77300,202.05,1.40778,2.42724E-05,284.954,1.34843E-05
77400,201.85,1.38416,2.38889E-05,284.813,1.34727E-05
77500,201.65,1.36092,2.35111E-05,284.672,1.3461E-05
77600,201.45,1.33805,2.31389E-05,284.53,1.34493E-05
77700,201.25,1.31554,2.27722E-05,284.389,1.34377E-05
77800,201.05,1.29338,2.2411E-05,284.248,1.3426E-05
77900,200.85,1.27158,2.20551E-05,284.106,1.34143E-05
78000,200.65,1.25012,2.17046E-05,283.965,1.34027E-05
78100,200.45,1.22901,2.13593E-05,283.823,1.3391E-05
78200,200.25,1.20823,2.10191E-05,283.682,1.33793E-05
78300,200.05,1.18778,2.06841E-05,283.54,1.33676E-05
78400,199.85,1.16766,2.0354E-05,283.398,1.33559E-05
78500,199.65,1.14786,2.00289E-05,283.256,1.33442E-05
78600,199.45,1.12837,1.97087E-05,283.114,1.33325E-05
78700,199.25,1.1092,1.93932E-05,282.972,1.33208E-05
78800,199.05,1.09034,1.90826E-05,282.83,1.33091E-05
78900,198.85,1.07177,1.87765E-05,282.688,1.32974E-05
79000,198.65,1.05351,1.84751E-05,282.546,1.32856E-05
79100,198.45,1.03554,1.81783E-05,282.404,1.32739E-05
79200,198.25,1.01785,1.78859E-05,282.262,1.32622E-05
79300,198.05,1.00045,1.75979E-05,282.119,1.32504E-05
79400,197.85,0.983336,1.73143E-05,281.977,1.32387E-05
79500,197.65,0.966494,1.70349E-05,281.834,1.3227E-05
79600,197.45,0.949924,1.67598E-05,281.691,1.32152E-05
79700,197.25,0.933621,1.64889E-05,281.549,1.32035E-05
79800,197.05,0.917582,1.62221E-05,281.406,1.31917E-05
79900,196.85,0.901803,1.59593E-05,281.263,1.31799E-05
80000,196.65,0.88628,1.57005E-05,281.12,1.31682E-05
80100,196.45,0.871008,1.54457E-05,280.977,1.31564E-05
80200,196.25,0.855984,1.51948E-05,280.834,1.31446E-05
80300,196.05,0.841205,1.49476E-05,280.691,1.31328E-05
80400,195.85,0.826666,1.47043E-05,280.548,1.3121E-05
80500,195.65,0.812363,1.44647E-05,280.405,1.31092E-05
80600,195.45,0.798294,1.42287E-05,280.261,1.30974E-05
80700,195.25,0.784455,1.39964E-05,280.118,1.30856E-05
80800,195.05,0.770842,1.37676E-05,279.974,1.30738E-05
80900,194.85,0.757451,1.35423E-05,279.831,1.3062E-05
81000,194.65,0.74428,1.33205E-05,279.687,1.30502E-05
81100,194.45,0.731324,1.31021E-05,279.543,1.30384E-05
81200,194.25,0.718581,1.2887E-05,279.399,1.30266E-05
81300,194.05,0.706047,1.26753E-05,279.256,1.30147E-05
81400,193.85,0.69372,1.24668E-05,279.112,1.30029E-05
81500,193.65,0.681595,1.22616E-05,278.968,1.29911E-05
81600,193.45,0.66967,1.20595E-05,278.824,1.29792E-05
81700,193.25,0.657941,1.18606E-05,278.679,1.29674E-05
81800,193.05,0.646406,1.16647E-05,278.535,1.29555E-05
81900,192.85,0.635062,1.14719E-05,278.391,1.29437E-05
82000,192.65,0.623905,1.1282E-05,278.246,1.29318E-05
82100,192.45,0.612933,1.10952E-05,278.102,1.29199E-05
82200,192.25,0.602143,1.09112E-05,277.957,1.29081E-05
82300,192.05,0.591532,1.07301E-05,277.813,1.28962E-05
82400,191.85,0.581097,1.05518E-05,277.668,1.28843E-05
82500,191.65,0.570835,1.03762E-05,277.523,1.28724E-05
82600,191.45,0.560745,1.02035E-05,277.378,1.28605E-05
82700,191.25,0.550822,1.00334E-05,277.234,1.28486E-05
82800,191.05,0.541065,9.86599E-06,277.089,1.28367E-05
82900,190.85,0.531471,9.7012E-06,276.943,1.28248E-05
83000,190.65,0.522037,9.53899E-06,276.798,1.28129E-05
83100,190.45,0.512761,9.37933E-06,276.653,1.2801E-05
83200,190.25,0.50364,9.22218E-06,276.508,1.27891E-05
83300,190.05,0.494672,9.06751E-06,276.362,1.27771E-05
83400,189.85,0.485855,8.91526E-06,276.217,1.27652E-05
83500,189.65,0.477186,8.76542E-06,276.071,1.27533E-05
83600,189.45,0.468662,8.61794E-06,275.926,1.27413E-05
83700,189.25,0.460282,8.47279E-06,275.78,1.27294E-05
83800,189.05,0.452044,8.32994E-06,275.634,1.27174E-05
83900,188.85,0.443944,8.18935E-06,275.489,1.27055E-05
84000,188.65,0.435981,8.05098E-06,275.343,1.26935E-05
84100,188.45,0.428153,7.91481E-06,275.197,1.26816E-05
84200,188.25,0.420457,7.7808E-06,275.051,1.26696E-05
84300,188.05,0.412891,7.64892E-06,274.904,1.26576E-05
84400,187.85,0.405454,7.51914E-06,274.758,1.26457E-05
84500,187.65,0.398143,7.39143E-06,274.612,1.26337E-05
84600,187.45,0.390956,7.26576E-06,274.466,1.26217E-05
84700,187.25,0.383892,7.14209E-06,274.319,1.26097E-05
84800,187.05,0.376948,7.02039E-06,274.173,1.25977E-05
84900,186.946,0.370123,6.89712E-06,274.096,1.25915E-05
85000,186.946,0.36342,6.77222E-06,274.096,1.25915E-05
85100,186.946,0.356839,6.64959E-06,274.096,1.25915E-05
85200,186.946,0.350378,6.52917E-06,274.096,1.25915E-05
85300,186.946,0.344033,6.41094E-06,274.096,1.25915E-05
85400,186.946,0.337803,6.29485E-06,274.096,1.25915E-05
85500,186.946,0.331686,6.18086E-06,274.096,1.25915E-05
85600,186.946,0.32568,6.06893E-06,274.096,1.25915E-05
85700,186.946,0.319782,5.95904E-06,274.096,1.25915E-05
85800,186.946,0.313991,5.85113E-06,274.096,1.25915E-05
85900,186.946,0.308305,5.74517E-06,274.096,1.25915E-05
86000,186.946,0.302723,5.64114E-06,274.096,1.25915E-05
